Date,Time,Meal_Time,Student_ID,Item,Quantity,Actual_Item_Price,Price,Total_Amount,Payment_Mode,Weather,Rating,Taste,DayOfWeek,Hour,Month,Week,DayOfWeek_enc,Meal_Time_enc,Weather_enc,Item_enc,Wastage_Risk
2025-09-15,18:59:00,Evening Snacks,5,Bhel Puri,1,30,30,30,UPI,Rainy,4.5,Excellent,Monday,18,9,38,0,2,1,8,0
2025-09-15,17:14:00,Evening Snacks,27,Upma,1,30,30,30,Card,Cloudy,4.9,Excellent,Monday,17,9,38,0,2,3,11,0
2025-09-15,17:49:00,Evening Snacks,51,Samosa,1,15,15,15,Cash,Cloudy,4.3,Very Good,Monday,17,9,38,0,2,3,12,0
2025-09-15,12:18:00,Lunch,92,Bisibele Bath,1,40,40,40,UPI,Windy,3.5,Average,Monday,12,9,38,0,1,2,0,0
2025-09-15,15:59:00,Evening Snacks,70,French Fries,1,30,30,30,UPI,Cloudy,4.8,Excellent,Monday,15,9,38,0,2,3,5,0
2025-09-15,15:25:00,Evening Snacks,64,Pani Puri,1,15,15,15,UPI,Sunny,4.0,Good,Monday,15,9,38,0,2,0,4,0
2025-09-15,13:22:00,Lunch,53,Ice Cream,1,15,15,15,UPI,Sunny,3.7,Good,Monday,13,9,38,0,1,0,13,0
2025-09-15,17:21:00,Evening Snacks,50,Sandwich,1,45,45,45,UPI,Sunny,3.6,Average,Monday,17,9,38,0,2,0,7,0
2025-09-15,16:04:00,Evening Snacks,2,Pani Puri,3,45,45,135,UPI,Cloudy,4.3,Very Good,Monday,16,9,38,0,2,3,4,0
2025-09-15,17:53:00,Evening Snacks,76,Coffee,1,15,15,15,UPI,Rainy,4.1,Good,Monday,17,9,38,0,2,1,1,0
2025-09-15,12:53:00,Lunch,68,Dosa,3,70,70,210,UPI,Sunny,4.1,Good,Monday,12,9,38,0,1,0,3,0
2025-09-15,12:48:00,Lunch,34,Dosa,2,90,90,180,Cash,Sunny,4.5,Excellent,Monday,12,9,38,0,1,0,3,0
2025-09-15,13:16:00,Lunch,1,Tea,3,12,12,36,UPI,Sunny,3.7,Good,Monday,13,9,38,0,1,0,6,0
2025-09-15,18:40:00,Evening Snacks,18,Sandwich,3,15,15,45,UPI,Sunny,4.5,Excellent,Monday,18,9,38,0,2,0,7,0
2025-09-15,09:17:00,Breakfast,82,Coffee,2,50,50,100,Card,Sunny,3.8,Good,Monday,9,9,38,0,0,0,1,0
2025-09-15,15:13:00,Evening Snacks,51,French Fries,1,50,50,50,UPI,Sunny,4.9,Excellent,Monday,15,9,38,0,2,0,5,0
2025-09-15,16:47:00,Evening Snacks,25,Bhel Puri,2,15,15,30,UPI,Rainy,4.2,Very Good,Monday,16,9,38,0,2,1,8,0
2025-09-15,17:40:00,Evening Snacks,19,Samosa,3,15,15,45,UPI,Rainy,3.6,Average,Monday,17,9,38,0,2,1,12,0
2025-09-15,12:35:00,Lunch,12,Ice Cream,1,50,50,50,UPI,Sunny,3.2,Average,Monday,12,9,38,0,1,0,13,0
2025-09-15,19:58:00,Evening Snacks,53,Dosa,3,40,40,120,Card,Cloudy,4.3,Very Good,Monday,19,9,38,0,2,3,3,0
2025-09-15,08:46:00,Breakfast,31,Idly,1,45,45,45,UPI,Cloudy,3.9,Good,Monday,8,9,38,0,0,3,10,0
2025-09-15,18:49:00,Evening Snacks,67,Coffee,1,15,15,15,Cash,Cloudy,3.9,Good,Monday,18,9,38,0,2,3,1,0
2025-09-15,09:35:00,Breakfast,6,Tea,1,90,90,90,UPI,Rainy,4.3,Very Good,Monday,9,9,38,0,0,1,6,0
2025-09-15,17:14:00,Evening Snacks,78,Bisibele Bath,2,50,50,100,UPI,Rainy,4.4,Very Good,Monday,17,9,38,0,2,1,0,0
2025-09-15,17:06:00,Evening Snacks,10,Dosa,2,40,40,80,UPI,Cloudy,4.5,Excellent,Monday,17,9,38,0,2,3,3,0
2025-09-15,17:54:00,Evening Snacks,33,Tea,1,12,12,12,UPI,Rainy,3.5,Average,Monday,17,9,38,0,2,1,6,0
2025-09-15,13:44:00,Lunch,56,Fried Rice,1,35,35,35,UPI,Sunny,4.6,Excellent,Monday,13,9,38,0,1,0,14,0
2025-09-15,09:20:00,Breakfast,83,Dosa,2,90,90,180,UPI,Sunny,3.8,Good,Monday,9,9,38,0,0,0,3,0
2025-09-15,16:07:00,Evening Snacks,15,French Fries,1,50,50,50,UPI,Cloudy,3.1,Average,Monday,16,9,38,0,2,3,5,0
2025-09-15,13:10:00,Lunch,100,Juice,2,50,50,100,UPI,Sunny,3.5,Average,Monday,13,9,38,0,1,0,15,0
2025-09-15,12:30:00,Lunch,95,Tea,3,30,30,90,UPI,Sunny,4.1,Good,Monday,12,9,38,0,1,0,6,0
2025-09-15,12:05:00,Lunch,79,Coffee,1,30,30,30,Cash,Sunny,3.6,Average,Monday,12,9,38,0,1,0,1,0
2025-09-15,12:13:00,Lunch,78,Dosa,1,50,50,50,UPI,Cloudy,4.0,Good,Monday,12,9,38,0,1,3,3,0
2025-09-15,16:12:00,Evening Snacks,74,Juice,1,50,50,50,UPI,Rainy,4.1,Good,Monday,16,9,38,0,2,1,15,0
2025-09-15,18:55:00,Evening Snacks,52,Samosa,1,15,15,15,Card,Cloudy,3.9,Good,Monday,18,9,38,0,2,3,12,0
2025-09-15,16:13:00,Evening Snacks,49,Bhel Puri,3,45,45,135,Card,Cloudy,3.8,Good,Monday,16,9,38,0,2,3,8,0
2025-09-15,16:46:00,Evening Snacks,38,Tea,3,25,25,75,UPI,Sunny,3.5,Average,Monday,16,9,38,0,2,0,6,0
2025-09-15,15:46:00,Evening Snacks,32,Tea,3,50,50,150,UPI,Sunny,4.0,Good,Monday,15,9,38,0,2,0,6,0
2025-09-15,12:13:00,Lunch,40,Juice,2,25,25,50,UPI,Sunny,3.2,Average,Monday,12,9,38,0,1,0,15,1
2025-09-15,16:49:00,Evening Snacks,14,Juice,1,12,12,12,UPI,Rainy,3.7,Good,Monday,16,9,38,0,2,1,15,0
2025-09-15,17:57:00,Evening Snacks,52,Sandwich,2,45,45,90,UPI,Cloudy,3.6,Average,Monday,17,9,38,0,2,3,7,0
2025-09-15,17:00:00,Evening Snacks,72,Tea,1,90,90,90,UPI,Rainy,3.9,Good,Monday,17,9,38,0,2,1,6,0
2025-09-15,13:21:00,Lunch,4,Dosa,2,90,90,180,Cash,Sunny,3.9,Good,Monday,13,9,38,0,1,0,3,0
2025-09-15,13:35:00,Lunch,67,Fried Rice,1,50,50,50,UPI,Sunny,4.4,Very Good,Monday,13,9,38,0,1,0,14,0
2025-09-15,13:25:00,Lunch,84,South Indian Thali,1,15,15,15,UPI,Cloudy,4.6,Excellent,Monday,13,9,38,0,1,3,16,0
2025-09-15,19:13:00,Evening Snacks,97,Pani Puri,3,25,25,75,UPI,Rainy,3.6,Average,Monday,19,9,38,0,2,1,4,0
2025-09-15,18:12:00,Evening Snacks,85,Coffee,2,40,40,80,UPI,Rainy,4.8,Excellent,Monday,18,9,38,0,2,1,1,0
2025-09-15,19:57:00,Evening Snacks,19,Bisibele Bath,3,50,50,150,UPI,Cloudy,3.7,Good,Monday,19,9,38,0,2,3,0,0
2025-09-15,15:45:00,Evening Snacks,85,Ice Cream,2,30,30,60,UPI,Sunny,4.1,Good,Monday,15,9,38,0,2,0,13,0
2025-09-15,09:10:00,Breakfast,53,Idly,1,15,15,15,Cash,Cloudy,4.2,Very Good,Monday,9,9,38,0,0,3,10,0
2025-09-15,09:46:00,Breakfast,55,Bisibele Bath,2,25,25,50,UPI,Cloudy,5.0,Excellent,Monday,9,9,38,0,0,3,0,0
2025-09-15,19:55:00,Evening Snacks,41,Sandwich,3,45,45,135,UPI,Rainy,3.8,Good,Monday,19,9,38,0,2,1,7,0
2025-09-15,13:58:00,Lunch,100,Chapati,1,40,40,40,UPI,Windy,3.3,Average,Monday,13,9,38,0,1,2,2,0
2025-09-15,12:19:00,Lunch,66,Fried Rice,1,15,15,15,UPI,Sunny,4.6,Excellent,Monday,12,9,38,0,1,0,14,0
2025-09-16,15:05:00,Evening Snacks,62,Bhel Puri,1,25,25,25,Card,Windy,3.7,Good,Tuesday,15,9,38,1,2,2,8,0
2025-09-16,12:00:00,Lunch,77,Bisibele Bath,2,30,30,60,UPI,Cloudy,3.9,Good,Tuesday,12,9,38,1,1,3,0,0
2025-09-16,18:39:00,Evening Snacks,98,Coffee,1,15,15,15,UPI,Rainy,3.6,Average,Tuesday,18,9,38,1,2,1,1,0
2025-09-16,15:09:00,Evening Snacks,43,French Fries,3,25,25,75,UPI,Sunny,3.9,Good,Tuesday,15,9,38,1,2,0,5,0
2025-09-16,08:08:00,Breakfast,83,Poori,2,80,80,160,UPI,Cloudy,3.7,Good,Tuesday,8,9,38,1,0,3,9,0
2025-09-16,09:20:00,Breakfast,7,Dosa,1,25,25,25,UPI,Windy,4.3,Very Good,Tuesday,9,9,38,1,0,2,3,0
2025-09-16,12:22:00,Lunch,75,Idly,1,25,25,25,UPI,Windy,4.0,Good,Tuesday,12,9,38,1,1,2,10,0
2025-09-16,16:20:00,Evening Snacks,29,Tea,1,25,25,25,Cash,Rainy,3.7,Good,Tuesday,16,9,38,1,2,1,6,0
2025-09-16,12:02:00,Lunch,37,Sandwich,2,90,90,180,UPI,Sunny,4.4,Very Good,Tuesday,12,9,38,1,1,0,7,0
2025-09-16,13:31:00,Lunch,98,Bisibele Bath,2,40,40,80,UPI,Sunny,4.1,Good,Tuesday,13,9,38,1,1,0,0,0
2025-09-16,19:32:00,Evening Snacks,12,Bisibele Bath,3,50,50,150,Card,Rainy,3.3,Average,Tuesday,19,9,38,1,2,1,0,1
2025-09-16,19:40:00,Evening Snacks,21,Sandwich,1,40,40,40,UPI,Sunny,4.4,Very Good,Tuesday,19,9,38,1,2,0,7,0
2025-09-16,19:34:00,Evening Snacks,3,Sandwich,1,45,45,45,UPI,Rainy,4.1,Good,Tuesday,19,9,38,1,2,1,7,0
2025-09-16,19:52:00,Evening Snacks,26,Idly,1,25,25,25,UPI,Cloudy,4.6,Excellent,Tuesday,19,9,38,1,2,3,10,0
2025-09-16,15:11:00,Evening Snacks,46,Tea,1,12,12,12,Cash,Sunny,4.0,Good,Tuesday,15,9,38,1,2,0,6,0
2025-09-16,17:51:00,Evening Snacks,14,Juice,2,40,40,80,UPI,Sunny,3.7,Good,Tuesday,17,9,38,1,2,0,15,0
2025-09-16,15:10:00,Evening Snacks,87,Bhel Puri,1,25,25,25,UPI,Sunny,3.9,Good,Tuesday,15,9,38,1,2,0,8,0
2025-09-16,08:20:00,Breakfast,97,Idly,1,50,50,50,UPI,Cloudy,4.3,Very Good,Tuesday,8,9,38,1,0,3,10,0
2025-09-16,13:05:00,Lunch,64,Veg Biryani,2,50,50,100,UPI,Cloudy,3.7,Good,Tuesday,13,9,38,1,1,3,17,0
2025-09-16,15:44:00,Evening Snacks,58,Ice Cream,1,40,40,40,UPI,Sunny,3.8,Good,Tuesday,15,9,38,1,2,0,13,0
2025-09-16,19:19:00,Evening Snacks,7,Bisibele Bath,3,50,50,150,Cash,Cloudy,3.9,Good,Tuesday,19,9,38,1,2,3,0,0
2025-09-16,19:28:00,Evening Snacks,38,Idly,2,25,25,50,UPI,Sunny,3.5,Average,Tuesday,19,9,38,1,2,0,10,0
2025-09-16,09:44:00,Breakfast,7,Idly,1,90,90,90,UPI,Sunny,3.7,Good,Tuesday,9,9,38,1,0,0,10,0
2025-09-16,16:27:00,Evening Snacks,61,Pani Puri,2,50,50,100,UPI,Cloudy,4.1,Good,Tuesday,16,9,38,1,2,3,4,0
2025-09-16,08:18:00,Breakfast,86,Coffee,2,45,45,90,UPI,Sunny,4.5,Excellent,Tuesday,8,9,38,1,0,0,1,0
2025-09-16,12:23:00,Lunch,82,Idly,1,25,25,25,UPI,Sunny,4.1,Good,Tuesday,12,9,38,1,1,0,10,0
2025-09-16,19:30:00,Evening Snacks,34,Dosa,1,40,40,40,UPI,Rainy,4.0,Good,Tuesday,19,9,38,1,2,1,3,0
2025-09-16,18:47:00,Evening Snacks,95,Samosa,1,15,15,15,UPI,Rainy,3.7,Good,Tuesday,18,9,38,1,2,1,12,0
2025-09-16,19:55:00,Evening Snacks,30,Upma,2,30,30,60,UPI,Sunny,4.4,Very Good,Tuesday,19,9,38,1,2,0,11,0
2025-09-16,12:14:00,Lunch,88,North Indian Thali,3,35,35,105,UPI,Windy,4.2,Very Good,Tuesday,12,9,38,1,1,2,18,0
2025-09-16,12:43:00,Lunch,95,Dosa,2,15,15,30,UPI,Sunny,3.7,Good,Tuesday,12,9,38,1,1,0,3,0
2025-09-16,16:29:00,Evening Snacks,59,Bhel Puri,1,45,45,45,UPI,Cloudy,4.4,Very Good,Tuesday,16,9,38,1,2,3,8,0
2025-09-16,18:43:00,Evening Snacks,67,Ice Cream,1,30,30,30,Card,Sunny,4.2,Very Good,Tuesday,18,9,38,1,2,0,13,0
2025-09-16,17:03:00,Evening Snacks,70,Sandwich,2,45,45,90,UPI,Sunny,3.7,Good,Tuesday,17,9,38,1,2,0,7,0
2025-09-16,09:47:00,Breakfast,42,Dosa,1,40,40,40,Cash,Rainy,4.0,Good,Tuesday,9,9,38,1,0,1,3,0
2025-09-16,12:50:00,Lunch,2,Tea,1,30,30,30,Card,Cloudy,3.8,Good,Tuesday,12,9,38,1,1,3,6,0
2025-09-16,12:57:00,Lunch,73,Tea,2,30,30,60,UPI,Sunny,5.0,Excellent,Tuesday,12,9,38,1,1,0,6,0
2025-09-16,19:13:00,Evening Snacks,18,Idly,3,25,25,75,UPI,Rainy,4.2,Very Good,Tuesday,19,9,38,1,2,1,10,0
2025-09-16,15:58:00,Evening Snacks,72,Pani Puri,1,15,15,15,UPI,Windy,4.1,Good,Tuesday,15,9,38,1,2,2,4,0
2025-09-16,16:27:00,Evening Snacks,78,French Fries,3,30,30,90,UPI,Cloudy,4.2,Very Good,Tuesday,16,9,38,1,2,3,5,0
2025-09-16,13:09:00,Lunch,17,Idly,1,25,25,25,UPI,Windy,4.6,Excellent,Tuesday,13,9,38,1,1,2,10,0
2025-09-16,17:08:00,Evening Snacks,56,Pani Puri,3,25,25,75,Cash,Rainy,4.0,Good,Tuesday,17,9,38,1,2,1,4,0
2025-09-16,16:28:00,Evening Snacks,83,Coffee,1,35,35,35,UPI,Cloudy,3.8,Good,Tuesday,16,9,38,1,2,3,1,0
2025-09-16,13:17:00,Lunch,66,Sandwich,3,50,50,150,UPI,Sunny,4.3,Very Good,Tuesday,13,9,38,1,1,0,7,0
2025-09-16,16:22:00,Evening Snacks,81,Bhel Puri,2,30,30,60,UPI,Rainy,3.9,Good,Tuesday,16,9,38,1,2,1,8,0
2025-09-16,16:43:00,Evening Snacks,12,Sandwich,2,30,30,60,UPI,Rainy,3.6,Average,Tuesday,16,9,38,1,2,1,7,0
2025-09-16,18:00:00,Evening Snacks,26,South Indian Thali,2,90,90,180,UPI,Cloudy,3.5,Average,Tuesday,18,9,38,1,2,3,16,0
2025-09-16,19:48:00,Evening Snacks,58,Idly,3,25,25,75,UPI,Rainy,4.6,Excellent,Tuesday,19,9,38,1,2,1,10,0
2025-09-16,12:09:00,Lunch,64,Idly,2,25,25,50,UPI,Sunny,4.1,Good,Tuesday,12,9,38,1,1,0,10,0
2025-09-16,15:49:00,Evening Snacks,74,Juice,3,40,40,120,UPI,Sunny,3.8,Good,Tuesday,15,9,38,1,2,0,15,0
2025-09-16,16:31:00,Evening Snacks,41,Bhel Puri,1,50,50,50,UPI,Rainy,3.9,Good,Tuesday,16,9,38,1,2,1,8,0
2025-09-16,16:03:00,Evening Snacks,41,Pani Puri,3,50,50,150,Cash,Rainy,4.3,Very Good,Tuesday,16,9,38,1,2,1,4,0
2025-09-16,15:51:00,Evening Snacks,48,Bhel Puri,1,40,40,40,UPI,Cloudy,3.9,Good,Tuesday,15,9,38,1,2,3,8,0
2025-09-16,17:07:00,Evening Snacks,49,Sandwich,2,45,45,90,Cash,Sunny,3.4,Average,Tuesday,17,9,38,1,2,0,7,1
2025-09-16,16:27:00,Evening Snacks,87,Juice,3,15,15,45,UPI,Sunny,4.1,Good,Tuesday,16,9,38,1,2,0,15,0
2025-09-16,13:55:00,Lunch,48,Juice,3,40,40,120,UPI,Sunny,4.5,Excellent,Tuesday,13,9,38,1,1,0,15,0
2025-09-16,13:59:00,Lunch,51,Juice,2,45,45,90,UPI,Sunny,4.5,Excellent,Tuesday,13,9,38,1,1,0,15,0
2025-09-16,13:45:00,Lunch,82,North Indian Thali,1,15,15,15,UPI,Windy,3.8,Good,Tuesday,13,9,38,1,1,2,18,0
2025-09-16,15:17:00,Evening Snacks,35,Sandwich,3,80,80,240,UPI,Cloudy,4.5,Excellent,Tuesday,15,9,38,1,2,3,7,0
2025-09-16,17:56:00,Evening Snacks,14,Fried Rice,3,70,70,210,UPI,Rainy,4.1,Good,Tuesday,17,9,38,1,2,1,14,0
2025-09-16,12:33:00,Lunch,24,North Indian Thali,1,30,30,30,UPI,Sunny,4.5,Excellent,Tuesday,12,9,38,1,1,0,18,0
2025-09-16,19:03:00,Evening Snacks,50,Sandwich,1,40,40,40,UPI,Rainy,4.2,Very Good,Tuesday,19,9,38,1,2,1,7,0
2025-09-16,17:43:00,Evening Snacks,89,Tea,1,12,12,12,UPI,Cloudy,3.4,Average,Tuesday,17,9,38,1,2,3,6,0
2025-09-16,13:17:00,Lunch,29,South Indian Thali,1,30,30,30,UPI,Windy,4.7,Excellent,Tuesday,13,9,38,1,1,2,16,0
2025-09-16,09:30:00,Breakfast,83,Dosa,1,50,50,50,UPI,Cloudy,4.0,Good,Tuesday,9,9,38,1,0,3,3,0
2025-09-16,15:49:00,Evening Snacks,79,French Fries,1,15,15,15,UPI,Windy,4.2,Very Good,Tuesday,15,9,38,1,2,2,5,0
2025-09-16,19:54:00,Evening Snacks,1,French Fries,1,50,50,50,UPI,Cloudy,3.5,Average,Tuesday,19,9,38,1,2,3,5,0
2025-09-16,13:19:00,Lunch,74,North Indian Thali,3,30,30,90,UPI,Sunny,4.2,Very Good,Tuesday,13,9,38,1,1,0,18,0
2025-09-16,17:28:00,Evening Snacks,7,Samosa,1,15,15,15,UPI,Sunny,4.4,Very Good,Tuesday,17,9,38,1,2,0,12,0
2025-09-16,16:30:00,Evening Snacks,5,Pani Puri,1,15,15,15,UPI,Sunny,4.8,Excellent,Tuesday,16,9,38,1,2,0,4,0
2025-09-16,17:53:00,Evening Snacks,38,Bisibele Bath,1,50,50,50,UPI,Cloudy,4.6,Excellent,Tuesday,17,9,38,1,2,3,0,0
2025-09-16,09:45:00,Breakfast,94,Tea,1,30,30,30,UPI,Rainy,4.2,Very Good,Tuesday,9,9,38,1,0,1,6,0
2025-09-16,13:53:00,Lunch,94,Bisibele Bath,2,50,50,100,UPI,Sunny,3.4,Average,Tuesday,13,9,38,1,1,0,0,1
2025-09-16,09:42:00,Breakfast,6,Idly,1,90,90,90,UPI,Cloudy,4.1,Good,Tuesday,9,9,38,1,0,3,10,0
2025-09-16,18:08:00,Evening Snacks,37,Bhel Puri,1,30,30,30,Card,Rainy,3.8,Good,Tuesday,18,9,38,1,2,1,8,0
2025-09-16,17:09:00,Evening Snacks,79,Sandwich,1,40,40,40,UPI,Sunny,4.1,Good,Tuesday,17,9,38,1,2,0,7,0
2025-09-16,17:31:00,Evening Snacks,94,Ice Cream,1,15,15,15,UPI,Sunny,3.5,Average,Tuesday,17,9,38,1,2,0,13,0
2025-09-16,17:01:00,Evening Snacks,66,Bisibele Bath,1,50,50,50,UPI,Cloudy,3.9,Good,Tuesday,17,9,38,1,2,3,0,0
2025-09-16,16:38:00,Evening Snacks,43,Juice,1,45,45,45,UPI,Sunny,3.8,Good,Tuesday,16,9,38,1,2,0,15,0
2025-09-16,18:49:00,Evening Snacks,99,Idly,1,25,25,25,UPI,Cloudy,3.8,Good,Tuesday,18,9,38,1,2,3,10,0
2025-09-17,16:41:00,Evening Snacks,39,Sandwich,1,70,70,70,UPI,Sunny,3.8,Good,Wednesday,16,9,38,2,2,0,7,0
2025-09-17,13:30:00,Lunch,70,Sandwich,3,35,35,105,Cash,Sunny,3.9,Good,Wednesday,13,9,38,2,1,0,7,0
2025-09-17,13:15:00,Lunch,92,South Indian Thali,1,15,15,15,UPI,Sunny,4.1,Good,Wednesday,13,9,38,2,1,0,16,0
2025-09-17,13:04:00,Lunch,16,Tea,2,50,50,100,UPI,Sunny,3.0,Average,Wednesday,13,9,38,2,1,0,6,1
2025-09-17,18:49:00,Evening Snacks,6,Ice Cream,3,25,25,75,UPI,Sunny,3.0,Average,Wednesday,18,9,38,2,2,0,13,1
2025-09-17,12:39:00,Lunch,83,Fried Rice,3,25,25,75,UPI,Sunny,3.9,Good,Wednesday,12,9,38,2,1,0,14,0
2025-09-17,08:30:00,Breakfast,42,Coffee,1,25,25,25,UPI,Rainy,3.9,Good,Wednesday,8,9,38,2,0,1,1,0
2025-09-17,08:00:00,Breakfast,67,Chapati,1,50,50,50,UPI,Rainy,4.1,Good,Wednesday,8,9,38,2,0,1,2,0
2025-09-17,15:54:00,Evening Snacks,37,Juice,1,45,45,45,UPI,Sunny,3.7,Good,Wednesday,15,9,38,2,2,0,15,0
2025-09-17,13:06:00,Lunch,76,Coffee,2,25,25,50,UPI,Sunny,4.0,Good,Wednesday,13,9,38,2,1,0,1,0
2025-09-17,19:05:00,Evening Snacks,55,South Indian Thali,1,90,90,90,UPI,Rainy,4.1,Good,Wednesday,19,9,38,2,2,1,16,0
2025-09-17,18:52:00,Evening Snacks,96,Pani Puri,1,25,25,25,UPI,Cloudy,3.7,Good,Wednesday,18,9,38,2,2,3,4,0
2025-09-17,13:48:00,Lunch,48,Ice Cream,1,15,15,15,UPI,Sunny,4.4,Very Good,Wednesday,13,9,38,2,1,0,13,0
2025-09-17,12:08:00,Lunch,91,Idly,1,30,30,30,UPI,Sunny,4.1,Good,Wednesday,12,9,38,2,1,0,10,0
2025-09-17,17:27:00,Evening Snacks,17,Dosa,1,40,40,40,UPI,Rainy,4.2,Very Good,Wednesday,17,9,38,2,2,1,3,0
2025-09-17,16:52:00,Evening Snacks,12,Pani Puri,3,25,25,75,UPI,Rainy,4.0,Good,Wednesday,16,9,38,2,2,1,4,0
2025-09-17,12:01:00,Lunch,34,Sandwich,2,80,80,160,UPI,Sunny,4.8,Excellent,Wednesday,12,9,38,2,1,0,7,0
2025-09-17,13:31:00,Lunch,69,North Indian Thali,1,90,90,90,UPI,Sunny,4.2,Very Good,Wednesday,13,9,38,2,1,0,18,0
2025-09-17,18:43:00,Evening Snacks,24,Pani Puri,1,25,25,25,UPI,Rainy,3.8,Good,Wednesday,18,9,38,2,2,1,4,0
2025-09-17,15:41:00,Evening Snacks,72,Sandwich,1,45,45,45,Cash,Sunny,4.3,Very Good,Wednesday,15,9,38,2,2,0,7,0
2025-09-17,12:17:00,Lunch,5,Chapati,3,40,40,120,UPI,Sunny,3.3,Average,Wednesday,12,9,38,2,1,0,2,1
2025-09-17,12:11:00,Lunch,49,Bisibele Bath,2,50,50,100,Cash,Sunny,4.0,Good,Wednesday,12,9,38,2,1,0,0,0
2025-09-17,16:33:00,Evening Snacks,24,Bhel Puri,3,45,45,135,Cash,Rainy,4.1,Good,Wednesday,16,9,38,2,2,1,8,0
2025-09-17,12:15:00,Lunch,59,North Indian Thali,1,90,90,90,Cash,Cloudy,4.1,Good,Wednesday,12,9,38,2,1,3,18,0
2025-09-17,12:56:00,Lunch,73,Coffee,1,30,30,30,Cash,Windy,3.9,Good,Wednesday,12,9,38,2,1,2,1,0
2025-09-17,15:23:00,Evening Snacks,24,Juice,1,12,12,12,UPI,Windy,3.6,Average,Wednesday,15,9,38,2,2,2,15,0
